codigo_atv,nombre_atv,codigo_tribu,nombre_tribu
11701,CULTIVO DE CANA DE AZUCAR,0114.0,Cultivo de caña de azúcar
11104,CULTIVO DE TABACO,0115.0,Cultivo de tabaco
11106,CULTIVO DE ALGODON,0116.0,Cultivo de plantas de fibras
11901,CULTIVO DE FLORES DE TODO TIPO,0119.1,Cultivo de Flores
11501,CULTIVO DE BANANO,0122.1,Cultivo de banano
11340,CULTIVO DE PINA,0122.3,Cultivo de piña
11302,CULTIVO DE FRUTAS,0122.9,Cultivo de otras frutas tropicales y subtropicales
11322,CULTIVO DE SEMILLAS COMESTIBLES Y GERMINACION DE SEMILLAS OLEAGINOSAS,0125.0,Cultivo de otros frutos y nueces de árboles y arbustos
11102,CULTIVO DE PALMA AFRICANA Y OTROS FRUTOS OLEAGINOSOS,0126.1,Cultivo de palma africana (aceitera)
11401,CULTIVO DE CAFE,0127.1,Cultivo de café
11301,CULTIVO DE ESPECIAS DE TODO TIPO,0128.0,Cultivo de especies de plantas aromáticas medicinales y farmacéuticas
12301,CRIA Y VENTA DE GANADO BOVINO (VACUNO) Y BUFALO,0141.1,Cría de ganado Bovino (vacuno) para carne
12302,PRODUCCION DE LECHE CRUDA Y OTROS PRODUCTOS LACTEOS SIN PROCESAMIENTO INCLUIDOS EN CANASTA BASICA,0141.2,Cría de ganado Bovino (vacuno) para producción de leche cruda
12102,PRODUCCION DE SEMEN BOVINO VENTA DE SEMEN CONGELADO Y DILUYENTE PARA SEMEN,0141.9,Cría de Búfalos y otra producción de ganado bovino (vacuno)
12101,CRIA DE CABALLOS Y OTROS EQUINOS,0142.0,Cría de caballos y otros equinos
12103,CRIA DE ANIMALES DOMESTICOS COMO:OVEJAS Y CABRAS,0144.0,Cría de ovejas y cabras
12201,CRIA DE CERDOS,0145.0,Cría de cerdos
12403,PRODUCCION DE HUEVOS DE GALLINA INCLUIDOS EN LA CANASTA BASICA,0146.2,Actividades de granja para la producción de huevos de gallina
13001,CULTIVO DE PRODUCTOS AGRICOLAS EN COMBINACION CON LA CRIA DE ANIMALES (EXPLOTACI,0150.0,Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta)
930908,SERVICIO DE HERRADURA,0162.9,Otras actividades de apoyo a la ganadería
154904,BENEFICIO O PROCESAMIENTO DE CAFE,0163.1,Beneficio de café
14002,RECOLECCION DE COSECHAS Y ACTIVIDADES CONEXAS,0163.9,Otras actividades posteriores a la cosecha
